filename,filepath,string,fundamental_freq,actual_freq,offset_cents,status
E2_0_Sharp.wav,C:\Users\chinn\OneDrive\Documents\Gen music\pytune\ml\data\wav\E2_0_Sharp.wav,E2,82.41,83.99653510722815,33.01248744035725,Sharp
E2_1_Flat.wav,C:\Users\chinn\OneDrive\Documents\Gen music\pytune\ml\data\wav\E2_1_Flat.wav,E2,82.41,80.65051211593163,-37.36286025182601,Flat
E2_2_Sharp.wav,C:\Users\chinn\OneDrive\Documents\Gen music\pytune\ml\data\wav\E2_2_Sharp.wav,E2,82.41,82.90589182960817,10.386265779032392,Sharp
E2_3_In-Tune.wav,C:\Users\chinn\OneDrive\Documents\Gen music\pytune\ml\data\wav\E2_3_In-Tune.wav,E2,82.41,82.44849283157484,0.8084521547389967,In-Tune
E2_4_Flat.wav,C:\Users\chinn\OneDrive\Documents\Gen music\pytune\ml\data\wav\E2_4_Flat.wav,E2,82.41,80.92654859788748,-31.447611897235973,Flat
E2_5_In-Tune.wav,C:\Users\chinn\OneDrive\Documents\Gen music\pytune\ml\data\wav\E2_5_In-Tune.wav,E2,82.41,82.19950663780321,-4.427611525103279,In-Tune
E2_6_Sharp.wav,C:\Users\chinn\OneDrive\Documents\Gen music\pytune\ml\data\wav\E2_6_Sharp.wav,E2,82.41,83.21374085398135,16.802838154799108,Sharp
E2_7_Flat.wav,C:\Users\chinn\OneDrive\Documents\Gen music\pytune\ml\data\wav\E2_7_Flat.wav,E2,82.41,81.11239762521869,-27.476365321212587,Flat
E2_8_Flat.wav,C:\Users\chinn\OneDrive\Documents\Gen music\pytune\ml\data\wav\E2_8_Flat.wav,E2,82.41,80.19819784227077,-47.099511987534584,Flat
E2_9_Sharp.wav,C:\Users\chinn\OneDrive\Documents\Gen music\pytune\ml\data\wav\E2_9_Sharp.wav,E2,82.41,84.76807033280429,48.84184164282141,Sharp
